time_s,timestamp,phase,count
0.000,00:00,Dense (0–5s),6
0.133,00:00,Dense (0–5s),6
0.267,00:00,Dense (0–5s),7
0.400,00:00,Dense (0–5s),7
0.533,00:00,Dense (0–5s),8
0.667,00:00,Dense (0–5s),8
0.800,00:00,Dense (0–5s),7
0.933,00:00,Dense (0–5s),7
1.067,00:01,Dense (0–5s),8
1.200,00:01,Dense (0–5s),9
1.333,00:01,Dense (0–5s),9
1.467,00:01,Dense (0–5s),8
1.600,00:01,Dense (0–5s),8
1.733,00:01,Dense (0–5s),8
1.867,00:01,Dense (0–5s),6
2.000,00:02,Dense (0–5s),8
2.133,00:02,Dense (0–5s),7
2.267,00:02,Dense (0–5s),6
2.400,00:02,Dense (0–5s),7
2.533,00:02,Dense (0–5s),7
2.667,00:02,Dense (0–5s),6
2.800,00:02,Dense (0–5s),5
2.933,00:02,Dense (0–5s),7
3.067,00:03,Dense (0–5s),7
3.200,00:03,Dense (0–5s),7
3.333,00:03,Dense (0–5s),7
3.467,00:03,Dense (0–5s),7
3.600,00:03,Dense (0–5s),7
3.733,00:03,Dense (0–5s),7
3.867,00:03,Dense (0–5s),6
4.000,00:04,Dense (0–5s),8
4.133,00:04,Dense (0–5s),7
4.267,00:04,Dense (0–5s),7
4.400,00:04,Dense (0–5s),7
4.533,00:04,Dense (0–5s),7
4.667,00:04,Dense (0–5s),6
4.800,00:04,Dense (0–5s),5
4.933,00:04,Dense (0–5s),7
5.067,00:05,Medium (5–10s),5
5.200,00:05,Medium (5–10s),9
5.333,00:05,Medium (5–10s),8
5.467,00:05,Medium (5–10s),6
5.600,00:05,Medium (5–10s),5
5.733,00:05,Medium (5–10s),6
5.867,00:05,Medium (5–10s),5
6.000,00:06,Medium (5–10s),8
6.133,00:06,Medium (5–10s),8
6.267,00:06,Medium (5–10s),8
6.400,00:06,Medium (5–10s),10
6.533,00:06,Medium (5–10s),9
6.667,00:06,Medium (5–10s),9
6.800,00:06,Medium (5–10s),9
6.933,00:06,Medium (5–10s),8
7.067,00:07,Medium (5–10s),8
7.200,00:07,Medium (5–10s),9
7.333,00:07,Medium (5–10s),9
7.467,00:07,Medium (5–10s),8
7.600,00:07,Medium (5–10s),8
7.733,00:07,Medium (5–10s),9
7.867,00:07,Medium (5–10s),9
8.000,00:08,Medium (5–10s),7
8.133,00:08,Medium (5–10s),6
8.267,00:08,Medium (5–10s),6
8.400,00:08,Medium (5–10s),8
8.533,00:08,Medium (5–10s),8
8.667,00:08,Medium (5–10s),8
8.800,00:08,Medium (5–10s),9
8.933,00:08,Medium (5–10s),8
9.067,00:09,Medium (5–10s),8
9.200,00:09,Medium (5–10s),6
9.333,00:09,Medium (5–10s),7
9.467,00:09,Medium (5–10s),8
9.600,00:09,Medium (5–10s),6
9.733,00:09,Medium (5–10s),6
9.867,00:09,Medium (5–10s),8
10.000,00:10,Sparse (10–15s),8
10.133,00:10,Sparse (10–15s),7
10.267,00:10,Sparse (10–15s),17
10.400,00:10,Sparse (10–15s),19
10.533,00:10,Sparse (10–15s),17
10.667,00:10,Sparse (10–15s),17
10.800,00:10,Sparse (10–15s),18
10.933,00:10,Sparse (10–15s),16
11.067,00:11,Sparse (10–15s),17
11.200,00:11,Sparse (10–15s),16
11.333,00:11,Sparse (10–15s),16
11.467,00:11,Sparse (10–15s),18
11.600,00:11,Sparse (10–15s),17
11.733,00:11,Sparse (10–15s),17
11.867,00:11,Sparse (10–15s),20
12.000,00:12,Sparse (10–15s),18
12.133,00:12,Sparse (10–15s),17
12.267,00:12,Sparse (10–15s),23
12.400,00:12,Sparse (10–15s),21
12.533,00:12,Sparse (10–15s),22
12.667,00:12,Sparse (10–15s),18
12.800,00:12,Sparse (10–15s),18
12.933,00:12,Sparse (10–15s),16
13.067,00:13,Sparse (10–15s),19
13.200,00:13,Sparse (10–15s),20
13.333,00:13,Sparse (10–15s),18
13.467,00:13,Sparse (10–15s),18
13.600,00:13,Sparse (10–15s),17
13.733,00:13,Sparse (10–15s),16
13.867,00:13,Sparse (10–15s),21
14.000,00:14,Sparse (10–15s),19
14.133,00:14,Sparse (10–15s),22
14.267,00:14,Sparse (10–15s),19
14.400,00:14,Sparse (10–15s),17
14.533,00:14,Sparse (10–15s),17
14.667,00:14,Sparse (10–15s),21
14.800,00:14,Sparse (10–15s),20
14.933,00:14,Sparse (10–15s),22
15.067,00:15,Sparse (10–15s),19
